gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
030170,01,000208,2000-12-18,2012-12-27,Nasdaq 100,LGCAP,I0028,,,EXCHG,FLEX LTD,FLEX,Y2573F102,0000866374,3672,334412
063185,01,000208,2000-12-18,2021-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,CHECK POINT SOFTWARE TECHN,CHKP,M22465104,0001015922,7372,513210
120774,01,000208,2001-02-13,2003-12-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,BROCADE COMMUNICATIONS SYS,BRCD,111621306,0001009626,3576,334118
014623,01,000208,2001-03-13,2005-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,NOVELLUS SYSTEMS INC,NVLS.1,670008101,0000836106,3559,333295
117768,01,000208,2001-05-31,2004-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,NVIDIA CORP,NVDA,67066G104,0001045810,3674,334413
063051,01,000208,2001-10-04,2002-12-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,ANDRX CORP,ADRX,034553107,0001123337,5122,424210
024856,01,000208,2001-10-05,,Nasdaq 100,LGCAP,I0028,,,EXCHG,GILEAD SCIENCES INC,GILD,375558103,0000882095,2836,325414
031122,01,000208,2001-12-17,2012-12-27,Nasdaq 100,LGCAP,I0028,,,EXCHG,APOLLO EDUCATION GROUP INC,APOL,037604105,0000929887,8200,611310
006003,01,000208,2001-12-24,2002-12-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,INTEGRATED DEVICE TECH INC,IDTI,458118106,0000703361,3674,334413
024473,01,000208,2001-12-24,2002-12-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,SEPRACOR INC,SEPR,817315104,0000877357,2834,325412
024699,01,000208,2001-12-24,2002-12-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,IMCLONE SYSTEMS INC,IMCL.1,45245W109,0000765258,2836,325414
024878,01,000208,2001-12-24,2002-12-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,PDL BIOPHARMA INC,PDLI,69329Y104,0000882104,2836,325414
062336,01,000208,2001-12-24,2002-12-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,CYTYC CORP,CYTC,232946103,0000849778,3826,334516
126136,01,000208,2001-12-24,2002-12-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,CHARTER COMMUNICATIONS INC,CHTR,16117M107,0001091667,4841,515210
024110,01,000208,2001-12-24,2003-12-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,ICOS CORP,ICOS,449295104,0000874294,2834,325412
023945,01,000208,2001-12-24,2004-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,CEPHALON INC,CEPH,156708109,0000873364,2834,325412
024975,01,000208,2001-12-24,2005-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,SYNOPSYS INC,SNPS,871607107,0000883241,7372,511210
118577,01,000208,2001-12-24,2005-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,LIFE TECHNOLOGIES CORP,LIFE.3,53217V109,0001073431,2836,325414
028320,01,000208,2001-12-24,2007-10-09,Nasdaq 100,LGCAP,I0028,,,EXCHG,CDW CORP,CDW,12512N105,0001402057,5045,423430
025356,01,000208,2001-12-24,2018-12-28,Nasdaq 100,LGCAP,I0028,,,EXCHG,EXPRESS SCRIPTS HOLDING CO,ESRX,30219G108,0001532063,5912,446110
015855,01,000208,2001-12-24,2019-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,GEN DIGITAL INC,GEN,668771108,0000849399,7372,513210
031587,01,000208,2002-06-03,2005-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,DOLLAR TREE INC,DLTR,256746108,0000935703,5331,455219
009699,01,000208,2002-07-15,2015-08-04,Nasdaq 100,LGCAP,I0028,,,EXCHG,SIGMA-ALDRICH CORP,SIAL,826552101,0000090185,2833,325411
025062,01,000208,2002-07-24,2006-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,LINCARE HOLDINGS INC,LNCR,532791100,0000882235,8090,621999
014538,90,000208,2002-11-07,2012-05-29,Nasdaq 100,LGCAP,I0028,,,EXCHG,TEVA PHARMACEUTICALS,TEVA,881624209,0000818686,2834,325412
003226,01,000208,2002-11-19,,Nasdaq 100,LGCAP,I0028,,,EXCHG,COMCAST CORP,CMCSA,20030N101,0001166691,4841,516210
025880,01,000208,2002-12-16,2010-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,PATTERSON COS INC,PDCO,703395103,0000891024,5047,423450
014225,01,000208,2002-12-23,,Nasdaq 100,LGCAP,I0028,,,EXCHG,FASTENAL CO,FAST,311900104,0000815556,5000,423
005116,01,000208,2002-12-23,2004-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,GENTEX CORP,GNTX,371901109,0000355811,3714,336390
013397,01,000208,2002-12-23,2004-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,FIRST HEALTH GROUP CORP,FHCC,320960107,0000812910,6411,524292
029108,01,000208,2002-12-23,2004-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,PATTERSON-UTI ENERGY INC,PTEN,703481101,0000889900,1381,213111
061494,01,000208,2002-12-23,2004-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,HENRY SCHEIN INC,HSIC,806407102,0001000228,5047,423450
064835,90,000208,2002-12-23,2004-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,RYANAIR HOLDINGS PLC,RYAAY,783513203,0001038683,4512,481111
