Date,Ticker,Russell1000,RussellT200,R1000_WT,R200_WT
2016-10-31,PEP,Y,Y,0.007555,0.010574
2016-10-31,PFE,Y,Y,0.009298,0.013014
2016-10-31,PM,Y,Y,0.007292,0.010206
2016-10-31,PSX,Y,Y,0.001784,0.002496
2016-10-31,PXD,Y,Y,0.001419,0.001986
2016-10-31,PX,Y,Y,0.001629,0.002280
2016-10-31,PCLN,Y,Y,0.003558,0.004980
2016-10-31,PG,Y,Y,0.010841,0.015174
2016-10-31,PRU,Y,Y,0.001827,0.002557
2016-10-31,PSA,Y,Y,0.001537,0.002151
2016-10-31,QCOM,Y,Y,0.004925,0.006893
2016-10-31,RTN,Y,Y,0.001978,0.002769
2016-10-31,REGN,Y,Y,0.001305,0.001826
2016-10-31,RAI,Y,Y,0.002218,0.003104
2016-10-31,SPGI,Y,Y,0.001565,0.002191
2016-10-31,CRM,Y,Y,0.002345,0.003282
2016-10-31,SLB,Y,Y,0.005312,0.007436
2016-10-31,SCHW,Y,Y,0.001801,0.002521
2016-10-31,SHW,Y,Y,0.000960,0.001344
2016-10-31,SPG,Y,Y,0.002791,0.003907
2016-10-31,SO,Y,Y,0.002364,0.003308
2016-10-31,LUV,Y,Y,0.001248,0.001746
2016-10-31,SE,Y,Y,0.001425,0.001995
2016-10-31,SBUX,Y,Y,0.003693,0.005169
2016-10-31,STT,Y,Y,0.001350,0.001889
2016-10-31,SYK,Y,Y,0.001892,0.002648
2016-10-31,SYY,Y,Y,0.001230,0.001722
2016-10-31,TJX,Y,Y,0.002377,0.003327
2016-10-31,TMUS,Y,Y,0.000691,0.000967
2016-10-31,TGT,Y,Y,0.001978,0.002769
2016-10-31,TSLA,Y,Y,0.001128,0.001579
2016-10-31,TXN,Y,Y,0.003473,0.004861
2016-10-31,TMO,Y,Y,0.002813,0.003938
2016-10-31,TRI,Y,Y,0.000576,0.000806
2016-10-31,MMM,Y,Y,0.004745,0.006641
2016-10-31,TWX,Y,Y,0.003414,0.004778
2016-10-31,TRV,Y,Y,0.001539,0.002154
2016-10-31,FOXA,Y,Y,0.001392,0.001948
2016-10-31,FOX,Y,Y,0.000629,0.000880
2016-10-31,USB,Y,Y,0.003545,0.004962
2016-10-31,UNP,Y,Y,0.003628,0.005078
2016-10-31,UPS,Y,Y,0.003635,0.005088
2016-10-31,UTX,Y,Y,0.003870,0.005417
2016-10-31,UNH,Y,Y,0.006465,0.009048
2016-10-31,VFC,Y,Y,0.000899,0.001258
2016-10-31,VLO,Y,Y,0.001356,0.001898
2016-10-31,VZ,Y,Y,0.009578,0.013406
2016-10-31,VRTX,Y,Y,0.000910,0.001273
2016-10-31,VSM,Y,Y,0.000108,0.000152
2016-10-31,V,Y,Y,0.007672,0.010738
2016-10-31,VMW,Y,Y,0.000311,0.000435
2016-10-31,WMT,Y,Y,0.005168,0.007234
2016-10-31,WBA,Y,Y,0.003470,0.004857
2016-10-31,WM,Y,Y,0.001419,0.001987
2016-10-31,WFC,Y,Y,0.010259,0.014360
2016-10-31,YHOO,Y,Y,0.001756,0.002458
2016-10-31,YUM,Y,Y,0.001624,0.002273
2016-10-31,AGN,Y,Y,0.004031,0.005643
2016-10-31,AON,Y,Y,0.001420,0.001988
2016-10-31,ACN,Y,Y,0.003536,0.004950
2016-10-31,ETN,Y,Y,0.001422,0.001990
2016-10-31,MDT,Y,Y,0.005612,0.007855
2016-10-31,CB,Y,Y,0.002863,0.004007
2016-10-31,LYB,Y,Y,0.001345,0.001883
2016-10-31,MYL,Y,Y,0.000814,0.001139
2016-10-31,AVGO,Y,Y,0.003131,0.004382
2016-11-30,AFL,Y,Y,0.001350,0.001900
2016-11-30,T,Y,Y,0.011209,0.015775
2016-11-30,ABT,Y,Y,0.002631,0.003703
2016-11-30,ABBV,Y,Y,0.004633,0.006520
2016-11-30,ATVI,Y,Y,0.000964,0.001356
2016-11-30,ADBE,Y,Y,0.002360,0.003321
2016-11-30,ASIX,Y,Y,0.000027,0.000038
